GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",43159,684,4870,615,1923,425,1223,342,279,188,261,127,147,153,13,19,2947,432,1967,330,450,212,530,171,0,28,0,28,15257,613,8994,551,7570,498,685,250,693,191,23,32,23,32,6263,512,5169,491,348,147,725,181,9,15,12,20,12268,711,9291,618,8329,629,411,148,446,128,59,44,46,56,2977,360,2577,363,122,88,249,92,0,28,29,34,10764,689,9037,698,7658,579,750,280,470,148,159,85,0,28,1727,274,1504,235,14,23,209,110,0,28,0,28
0600000US0900310100,0900310100,"Burlington town, Hartford County, Connecticut",6416,162,171,67,43,33,22,24,0,17,21,23,0,17,0,17,128,61,90,55,9,14,29,26,0,17,0,17,1484,243,923,166,818,158,0,17,75,54,12,17,18,28,561,166,425,140,6,11,130,97,0,17,0,17,1869,235,1441,223,1294,197,7,12,133,79,7,12,0,17,428,92,408,89,11,17,0,17,9,14,0,17,2892,270,2375,250,2105,247,69,53,160,76,41,37,0,17,517,134,484,132,0,17,23,25,0,17,10,16
0600000US0900312270,0900312270,"Canton town, Hartford County, Connecticut",7503,248,289,99,132,82,84,59,38,56,10,17,0,19,0,19,157,65,103,46,0,19,54,62,0,19,0,19,1504,304,845,214,754,192,50,72,41,62,0,19,0,19,659,163,615,153,5,13,39,59,0,19,0,19,1804,308,1316,242,1274,227,42,47,0,19,0,19,0,19,488,159,402,120,5,15,81,80,0,19,0,19,3906,376,2803,301,2474,277,67,75,174,97,23,35,65,77,1103,211,1054,194,0,19,49,74,0,19,0,19
0600000US0900322070,0900322070,"East Granby town, Hartford County, Connecticut",3679,142,172,110,64,65,64,65,0,17,0,17,0,17,0,17,108,86,108,86,0,17,0,17,0,17,0,17,788,164,488,135,488,135,0,17,0,17,0,17,0,17,300,100,268,99,0,17,32,35,0,17,0,17,960,229,740,192,704,194,0,17,36,55,0,17,0,17,220,123,168,91,52,77,0,17,0,17,0,17,1759,254,1350,215,1207,220,58,60,17,25,46,51,22,35,409,148,371,141,13,21,0,17,25,37,0,17
0600000US0900322630,0900322630,"East Hartford town, Hartford County, Connecticut",35373,566,5664,602,2920,423,1039,237,1342,370,204,92,279,118,56,46,2744,369,1404,245,900,273,390,110,41,33,9,16,11951,662,7447,604,4592,543,1760,369,481,120,288,111,326,168,4504,355,3625,339,434,154,374,120,44,36,27,26,10925,681,8313,580,5437,484,1991,377,525,188,79,39,281,111,2612,283,1766,240,462,153,288,119,61,59,35,37,6833,654,5619,583,3969,456,562,218,356,132,286,117,446,256,1214,185,854,154,69,55,90,64,134,64,67,73
0600000US0900324800,0900324800,"East Windsor town, Hartford County, Connecticut",8473,505,478,159,142,92,132,92,0,19,10,17,0,19,0,19,336,128,295,125,0,19,41,42,0,19,0,19,3327,402,2275,359,2032,392,29,49,214,134,0,19,0,19,1052,209,997,215,6,12,39,47,10,20,0,19,2323,389,1863,326,1571,289,60,51,232,157,0,19,0,19,460,147,440,146,0,19,20,22,0,19,0,19,2345,429,1865,349,1594,313,40,51,95,62,120,119,16,24,480,171,330,104,0,19,46,45,104,114,0,19
0600000US0900325990,0900325990,"Enfield town, Hartford County, Connecticut",31976,548,3310,408,1011,243,729,195,148,102,73,52,41,29,20,29,2299,358,1657,267,435,213,157,65,36,36,14,16,12255,657,7262,550,6376,503,550,282,236,96,89,78,11,17,4993,483,4434,425,248,113,278,99,29,25,4,7,9010,532,6307,464,5782,483,172,88,228,92,74,48,51,56,2703,305,2425,274,54,28,139,57,9,14,76,84,7401,507,5786,433,5180,395,190,98,268,88,92,61,56,42,1615,263,1398,184,57,85,105,71,44,52,11,16
0600000US0900327600,0900327600,"Farmington town, Hartford County, Connecticut",18129,325,862,229,357,144,167,86,22,25,151,96,17,18,0,22,505,168,338,159,19,26,93,49,55,43,0,22,3365,427,1839,346,1283,227,166,157,354,173,21,24,15,23,1526,231,1374,223,29,26,103,49,9,19,11,17,3716,366,2540,305,2036,267,54,41,421,121,29,34,0,22,1176,207,995,194,43,40,100,58,24,22,14,22,10186,561,7657,468,5802,425,163,72,1122,227,521,200,49,49,2529,259,2001,221,57,42,325,137,124,67,22,26
0600000US0900331240,0900331240,"Glastonbury town, Hartford County, Connecticut",23806,292,884,208,332,163,155,102,62,98,54,68,61,56,0,25,552,145,326,99,25,25,136,80,65,46,0,25,3532,414,2013,331,1641,268,82,63,214,126,57,38,19,29,1519,216,1242,172,10,13,171,102,82,62,14,23,4654,361,3147,275,2589,285,104,69,406,143,38,37,10,14,1507,238,1336,217,51,43,101,55,19,21,0,25,14736,578,11370,563,9876,617,185,77,803,210,484,164,22,32,3366,318,2997,294,99,57,193,87,54,37,23,26
0600000US0900332640,0900332640,"Granby town, Hartford County, Connecticut",8013,188,178,99,95,59,95,59,0,19,0,19,0,19,0,19,83,56,55,51,8,18,8,17,12,28,0,19,1546,246,934,204,920,200,0,19,14,22,0,19,0,19,612,149,549,142,6,13,57,49,0,19,0,19,1836,232,1391,233,1358,239,20,31,13,21,0,19,0,19,445,124,374,107,23,35,48,57,0,19,0,19,4453,320,3396,336,3182,339,36,47,136,89,21,34,21,32,1057,181,1030,179,18,28,9,14,0,19,0,19
